address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state,business_parking,ambience,categories_array
414 S Craig St,"{""WiFi"": ""'no'"", ""Caters"": ""False"", ""OutdoorSeating"": ""False"", ""NoiseLevel"": ""u'average'"", ""Ambience"": ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", ""GoodForKids"": ""True"", ""RestaurantsTakeOut"": ""True"", ""BusinessAcceptsCreditCards"": ""False"", ""RestaurantsReservations"": ""False"", ""BusinessParking"": ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", ""Alcohol"": ""u'none'"", ""BikeParking"": ""True"", ""GoodForMeal"": ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", ""RestaurantsAttire"": ""u'casual'"", ""RestaurantsGoodForGroups"": ""False"", ""HasTV"": ""False"", ""RestaurantsDelivery"": ""False"", ""RestaurantsPriceRange2"": ""1""}",AYr2URtjoQ8Toh8_Jr4G6A,"""Food, Bubble Tea, Chinese, Taiwanese, Restaurants""",Pittsburgh,"{""Monday"": ""11:0-21:0"", ""Tuesday"": ""11:0-21:0"", ""Wednesday"": ""11:0-21:0"", ""Thursday"": ""11:0-21:0"", ""Friday"": ""11:0-21:0"", ""Saturday"": ""11:0-21:0"", ""Sunday"": ""12:0-21:0""}",1,40.444788,-79.9489549,Rose Tea Cafe,15213,72,2.5,PA,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""TRUE"", ""validated"": ""FALSE""}","{""divey"": ""FALSE"", ""casual"": ""TRUE"", ""classy"": ""FALSE"", ""trendy"": ""FALSE"", ""hipster"": ""FALSE"", ""upscale"": ""FALSE"", ""intimate"": ""FALSE"", ""romantic"": ""FALSE"", ""touristy"": ""FALSE""}","{Food,Bubble Tea,Chinese,Taiwanese,Restaurants}"
"668 N 44th St, Ste 110","{""RestaurantsAttire"": ""'casual'"", ""Ambience"": ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", ""RestaurantsPriceRange2"": ""1"", ""GoodForKids"": ""True"", ""NoiseLevel"": ""u'average'"", ""RestaurantsGoodForGroups"": ""True"", ""Alcohol"": ""u'none'"", ""RestaurantsTableService"": ""False"", ""Caters"": ""True"", ""BusinessParking"": ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", ""RestaurantsDelivery"": ""True"", ""GoodForMeal"": ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': True}"", ""RestaurantsTakeOut"": ""True"", ""OutdoorSeating"": ""True"", ""DogsAllowed"": ""False"", ""BusinessAcceptsCreditCards"": ""True"", ""BusinessAcceptsBitcoin"": ""False"", ""BikeParking"": ""True"", ""WheelchairAccessible"": ""True"", ""RestaurantsReservations"": ""False"", ""WiFi"": ""u'free'"", ""HasTV"": ""True""}",maLlY0JVsUfHNK6-RUrG4g,"""Bubble Tea, Breakfast & Brunch, Juice Bars & Smoothies, Food, Sandwiches, Restaurants, Delis""",Phoenix,"{""Monday"": ""9:0-18:0"", ""Tuesday"": ""9:0-18:0"", ""Wednesday"": ""9:0-18:0"", ""Thursday"": ""9:0-18:0"", ""Friday"": ""9:0-18:0""}",0,33.455418,-111.987786,Super Subs,85008,28,3.5,AZ,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""TRUE"", ""validated"": ""FALSE""}","{""divey"": ""FALSE"", ""casual"": ""TRUE"", ""classy"": ""FALSE"", ""trendy"": ""FALSE"", ""hipster"": ""FALSE"", ""upscale"": ""FALSE"", ""intimate"": ""FALSE"", ""romantic"": ""FALSE"", ""touristy"": ""FALSE""}","{Bubble Tea,Breakfast & Brunch,Juice Bars & Smoothies,Food,Sandwiches,Restaurants,Delis}"
6850 Spring Mountain Rd,"{""BusinessAcceptsCreditCards"": ""True"", ""RestaurantsTakeOut"": ""True""}",fbyYmI6VkWFBhYTreIqyTQ,"""Shaved Ice, Food, Coffee & Tea, Ice Cream & Frozen Yogurt, Bubble Tea, Desserts""",Las Vegas,"{""Monday"": ""11:0-21:0"", ""Tuesday"": ""11:0-21:0"", ""Wednesday"": ""11:0-21:0"", ""Thursday"": ""11:0-21:0"", ""Friday"": ""11:0-21:0"", ""Saturday"": ""11:0-21:0"", ""Sunday"": ""11:0-21:0""}",1,36.1271948,-115.2413401,Bbear Cafe,89146,21,4,NV,,,"{Shaved Ice,Food,Coffee & Tea,Ice Cream & Frozen Yogurt,Bubble Tea,Desserts}"
"6565 S Fort Apache Rd, Ste 175","{""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ""WheelchairAccessible"": ""True"", ""RestaurantsPriceRange2"": ""1"", ""RestaurantsTableService"": ""True"", ""RestaurantsTakeOut"": ""True"", ""Caters"": ""True"", ""RestaurantsReservations"": ""False"", ""Alcohol"": ""'none'"", ""GoodForKids"": ""True"", ""Ambience"": ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", ""OutdoorSeating"": ""False"", ""RestaurantsGoodForGroups"": ""True"", ""WiFi"": ""'no'"", ""RestaurantsAttire"": ""'casual'"", ""BikeParking"": ""True"", ""GoodForMeal"": ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", ""BusinessAcceptsCreditCards"": ""True"", ""HasTV"": ""True"", ""RestaurantsDelivery"": ""True"", ""NoiseLevel"": ""'quiet'""}",NaZVUOzqk5b-l0mlki-9Og,"""Restaurants, Chinese, Bubble Tea, Food, Thai, Soup""",Las Vegas,"{""Monday"": ""11:0-21:30"", ""Tuesday"": ""11:0-21:30"", ""Wednesday"": ""11:0-21:30"", ""Thursday"": ""11:0-21:30"", ""Friday"": ""11:0-21:30"", ""Saturday"": ""11:0-21:30"", ""Sunday"": ""12:0-21:0""}",1,36.0689682903,-115.2986838217,Chun Fai Chinese Eatery,89148,213,3.5,NV,"{""lot"": ""TRUE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}","{""divey"": ""FALSE"", ""casual"": ""TRUE"", ""classy"": ""FALSE"", ""trendy"": ""FALSE"", ""hipster"": ""FALSE"", ""upscale"": ""FALSE"", ""intimate"": ""FALSE"", ""romantic"": ""FALSE"", ""touristy"": ""FALSE""}","{Restaurants,Chinese,Bubble Tea,Food,Thai,Soup}"
5418 Yonge Street,"{""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", ""RestaurantsPriceRange2"": ""1"", ""WiFi"": ""'free'"", ""RestaurantsTakeOut"": ""True"", ""OutdoorSeating"": ""False""}",t-XUjZKLksMLX9XjJLN7AQ,"""Coffee & Tea, Food, Bubble Tea""",Toronto,"{""Monday"": ""11:30-0:0"", ""Tuesday"": ""11:30-0:0"", ""Wednesday"": ""11:30-0:0"", ""Thursday"": ""11:30-0:0"", ""Friday"": ""11:30-0:0"", ""Saturday"": ""11:30-0:0"", ""Sunday"": ""11:30-0:0""}",1,43.7757712287,-79.4148587225,Palgong Tea,M2N 6X4,55,4.5,ON,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}",,"{Coffee & Tea,Food,Bubble Tea}"
"110 S Val Vista Dr, Ste 103","{""WiFi"": ""u'free'"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", ""BusinessAcceptsCreditCards"": ""True"", ""RestaurantsTakeOut"": ""True"", ""RestaurantsPriceRange2"": ""1"", ""WheelchairAccessible"": ""True"", ""Caters"": ""False""}",hz02gw3Vm0xKXStFq0PjmA,"""Custom Cakes, Desserts, Juice Bars & Smoothies, Food, Bubble Tea""",Gilbert,"{""Monday"": ""7:0-20:30"", ""Tuesday"": ""7:0-20:30"", ""Wednesday"": ""7:0-20:30"", ""Thursday"": ""7:0-20:30"", ""Friday"": ""7:0-20:30"", ""Saturday"": ""7:30-20:45"", ""Sunday"": ""7:30-20:30""}",1,33.347904,-111.7570877,Fresh Fast Smoothie,85296,13,4.5,AZ,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}",,"{Custom Cakes,Desserts,Juice Bars & Smoothies,Food,Bubble Tea}"
660 Bloor St W,"{""BikeParking"": ""True"", ""OutdoorSeating"": ""False"", ""WiFi"": ""'free'"", ""RestaurantsTakeOut"": ""True"", ""BusinessParking"": ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", ""RestaurantsPriceRange2"": ""1"", ""Caters"": ""False""}",gJGu5fH5hMijxYa83EoLDQ,"""Juice Bars & Smoothies, Food, Bubble Tea, Tea Rooms, Coffee & Tea""",Toronto,"{""Monday"": ""10:0-21:0"", ""Tuesday"": ""10:0-21:0"", ""Wednesday"": ""10:0-21:0"", ""Thursday"": ""10:0-21:0"", ""Friday"": ""10:0-21:0"", ""Saturday"": ""10:0-21:0"", ""Sunday"": ""10:0-21:0""}",1,43.6642669,-79.4157597,Real Fruit Bubble Tea,M6G 1K9,41,4,ON,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""TRUE"", ""validated"": ""FALSE""}",,"{Juice Bars & Smoothies,Food,Bubble Tea,Tea Rooms,Coffee & Tea}"
"605 Mall Ring Cir, Ste 110","{""BusinessAcceptsCreditCards"": ""True"", ""Caters"": ""False"", ""WiFi"": ""u'free'"", ""RestaurantsPriceRange2"": ""1"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ""DogsAllowed"": ""False"", ""BusinessAcceptsBitcoin"": ""False"", ""BikeParking"": ""True"", ""WheelchairAccessible"": ""True"", ""RestaurantsTakeOut"": ""True""}",CO-p2eB7nLq1JbDrxrz7pw,"""Juice Bars & Smoothies, Bubble Tea, Tea Rooms, Food""",Henderson,"{""Monday"": ""0:0-0:0"", ""Tuesday"": ""10:0-21:0"", ""Wednesday"": ""10:0-18:0"", ""Thursday"": ""10:0-21:0"", ""Friday"": ""10:0-21:30"", ""Saturday"": ""10:0-21:30"", ""Sunday"": ""10:0-21:0""}",1,36.0647935,-115.0390924,No. 1 Boba Tea,89014,83,4,NV,"{""lot"": ""TRUE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}",,"{Juice Bars & Smoothies,Bubble Tea,Tea Rooms,Food}"
"4300 Steeles Avenue E, Unit D60","{""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", ""RestaurantsTakeOut"": ""True"", ""RestaurantsPriceRange2"": ""2""}",GFjRvXkf2IH9EiLRMvo3qw,"""Bubble Tea, Food""",Markham,"{""Monday"": ""11:0-20:0"", ""Tuesday"": ""11:0-20:0"", ""Wednesday"": ""11:0-20:0"", ""Thursday"": ""11:0-20:0"", ""Friday"": ""11:0-20:0"", ""Saturday"": ""11:0-20:0"", ""Sunday"": ""11:0-20:0""}",1,43.8250037,-79.3058147,Mr Sun,L3R 0Y5,26,4,ON,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}",,"{Bubble Tea,Food}"
"32730 Walker Rd, Ste D3","{""RestaurantsAttire"": ""u'casual'"", ""GoodForKids"": ""True"", ""Ambience"": ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", ""RestaurantsDelivery"": ""False"", ""BusinessAcceptsBitcoin"": ""False"", ""DogsAllowed"": ""False"", ""Alcohol"": ""u'none'"", ""BusinessAcceptsCreditCards"": ""True"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ""Caters"": ""False"", ""RestaurantsPriceRange2"": ""2"", ""HasTV"": ""False"", ""RestaurantsReservations"": ""False"", ""NoiseLevel"": ""u'quiet'"", ""WiFi"": ""u'no'"", ""BikeParking"": ""False"", ""RestaurantsTakeOut"": ""True"", ""GoodForMeal"": ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", ""OutdoorSeating"": ""False"", ""RestaurantsGoodForGroups"": ""False""}",JHtxvPm0XFAeGJ1OdviCrA,"""Thai, Food, Soup, Bubble Tea, Restaurants""",Avon Lake,"{""Monday"": ""0:0-0:0"", ""Tuesday"": ""16:30-19:30"", ""Wednesday"": ""16:30-19:30"", ""Thursday"": ""16:30-19:30"", ""Friday"": ""16:30-19:30"", ""Saturday"": ""16:30-19:0""}",1,41.493608553,-82.0171231534,Thai Chili,44012,85,4,OH,"{""lot"": ""TRUE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}","{""divey"": ""FALSE"", ""casual"": ""TRUE"", ""classy"": ""FALSE"", ""trendy"": ""FALSE"", ""hipster"": ""FALSE"", ""upscale"": ""FALSE"", ""intimate"": ""FALSE"", ""romantic"": ""FALSE"", ""touristy"": ""FALSE""}","{Thai,Food,Soup,Bubble Tea,Restaurants}"
"18631 N 19th Ave, Ste 150","{""RestaurantsTakeOut"": ""False"", ""BusinessAcceptsCreditCards"": ""True""}",P4IjwQ2yDqxtEzyeN81qLg,"""Bubble Tea, Shaved Ice, Coffee & Tea, Food, Juice Bars & Smoothies""",Phoenix,"{""Monday"": ""0:0-0:0"", ""Tuesday"": ""17:0-21:0"", ""Wednesday"": ""17:0-21:0"", ""Thursday"": ""17:0-21:0"", ""Friday"": ""17:0-21:0"", ""Saturday"": ""11:0-21:0"", ""Sunday"": ""11:0-18:0""}",1,33.655846,-112.09853,Snowbergs,85027,8,5,AZ,,,"{Bubble Tea,Shaved Ice,Coffee & Tea,Food,Juice Bars & Smoothies}"
"1050 S Terrace Rd, Ste 112",null,zK5LL1CzddXGH3UYWiGYig,"""Food, Bubble Tea, Desserts, Gelato""",Tempe,"{""Monday"": ""0:0-0:0"", ""Tuesday"": ""12:0-23:0"", ""Wednesday"": ""12:0-23:0"", ""Thursday"": ""12:0-0:0"", ""Friday"": ""12:0-0:0"", ""Saturday"": ""12:0-0:0"", ""Sunday"": ""12:0-20:0""}",1,33.417682,-111.923732,Bubbleology,85281,57,4.5,AZ,,,"{Food,Bubble Tea,Desserts,Gelato}"
2119 Fish Hatchery Rd,"{""RestaurantsTakeOut"": ""True"", ""BikeParking"": ""True"", ""BusinessAcceptsCreditCards"": ""True"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ""RestaurantsPriceRange2"": ""1""}",b9YM9MS0XoVjh_vx2aK-5w,"""Food, Specialty Food, Grocery, Bubble Tea, Ethnic Food""",Madison,"{""Monday"": ""8:30-19:0"", ""Tuesday"": ""8:30-19:0"", ""Wednesday"": ""8:30-19:0"", ""Thursday"": ""8:30-19:0"", ""Friday"": ""8:30-19:0"", ""Saturday"": ""8:30-19:0"", ""Sunday"": ""8:30-19:0""}",0,43.0426988,-89.4039278,Madison Oriental Market,53713,6,4,WI,"{""lot"": ""TRUE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}",,"{Food,Specialty Food,Grocery,Bubble Tea,Ethnic Food}"
"9605 N Tryon St, Ste S","{""DogsAllowed"": ""False"", ""WiFi"": ""u'free'"", ""BusinessAcceptsBitcoin"": ""False"", ""Caters"": ""True"", ""BusinessAcceptsCreditCards"": ""True"", ""BikeParking"": ""False"", ""RestaurantsTakeOut"": ""True"", ""WheelchairAccessible"": ""True"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ""RestaurantsPriceRange2"": ""2""}",O0MFflOOBQYIl9Idnokq4w,"""Ice Cream & Frozen Yogurt, Poke, Coffee & Tea, Bubble Tea, Desserts, Food""",Charlotte,"{""Monday"": ""10:30-22:30"", ""Tuesday"": ""10:30-22:30"", ""Wednesday"": ""10:30-22:30"", ""Thursday"": ""10:30-22:30"", ""Friday"": ""10:30-23:30"", ""Saturday"": ""10:30-23:30"", ""Sunday"": ""10:30-22:30""}",1,35.3171937047,-80.7402041182,Rolo Poke,28262,22,4.5,NC,"{""lot"": ""TRUE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}",,"{Ice Cream & Frozen Yogurt,Poke,Coffee & Tea,Bubble Tea,Desserts,Food}"
"116 N Stephanie St, Ste 110",null,mtQWaqLBtVILcHVS5lcCVA,"""Food, Restaurants, Bubble Tea, Hot Pot, Ramen, Japanese""",Henderson,"{""Monday"": ""11:0-22:0"", ""Tuesday"": ""11:0-22:0"", ""Wednesday"": ""11:0-22:0"", ""Thursday"": ""11:0-22:0"", ""Friday"": ""11:0-22:0"", ""Saturday"": ""11:0-22:0"", ""Sunday"": ""11:0-22:0""}",1,36.035602,-115.045399,"100 Degree Hot Pot, Ramen And Boba",89074,16,3.5,NV,,,"{Food,Restaurants,Bubble Tea,Hot Pot,Ramen,Japanese}"
"4981 Highway 7 E, Unit 11","{""RestaurantsGoodForGroups"": ""True"", ""Alcohol"": ""'none'"", ""WiFi"": ""'free'"", ""HasTV"": ""False"", ""GoodForKids"": ""True"", ""NoiseLevel"": ""'average'"", ""Caters"": ""False"", ""RestaurantsAttire"": ""'casual'"", ""RestaurantsReservations"": ""False"", ""OutdoorSeating"": ""False"", ""RestaurantsTableService"": ""True"", ""GoodForMeal"": ""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ""Ambience"": ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", ""RestaurantsTakeOut"": ""True"", ""RestaurantsDelivery"": ""False"", ""BikeParking"": ""False"", ""RestaurantsPriceRange2"": ""1""}",RnyuG8Ngt1rr3mFD3oYicw,"""Taiwanese, Restaurants, Food, Bubble Tea""",Markham,"{""Monday"": ""11:0-1:0"", ""Tuesday"": ""11:0-1:0"", ""Wednesday"": ""11:0-1:0"", ""Thursday"": ""11:0-1:0"", ""Friday"": ""11:0-2:0"", ""Saturday"": ""11:0-2:0"", ""Sunday"": ""11:0-1:0""}",1,43.8647681,-79.2925506,Green Grotto Tea Room,L3R 1N1,42,3,ON,"{""lot"": ""TRUE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}","{""casual"": ""TRUE"", ""classy"": ""FALSE"", ""trendy"": ""FALSE"", ""hipster"": ""FALSE"", ""upscale"": ""FALSE"", ""intimate"": ""FALSE"", ""romantic"": ""FALSE"", ""touristy"": ""FALSE""}","{Taiwanese,Restaurants,Food,Bubble Tea}"
"9775 S Maryland Pkwy, Ste E","{""Caters"": ""False"", ""DogsAllowed"": ""True"", ""BusinessAcceptsBitcoin"": ""False"", ""BikeParking"": ""True"", ""WheelchairAccessible"": ""True"", ""OutdoorSeating"": ""False"", ""RestaurantsPriceRange2"": ""1"", ""BusinessAcceptsCreditCards"": ""True"", ""WiFi"": ""u'free'"", ""RestaurantsTakeOut"": ""True"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",GSaU7xmPP-Arq7uY5kbA_g,"""Bubble Tea, Coffee & Tea, Food, Tea Rooms, Juice Bars & Smoothies""",Las Vegas,"{""Monday"": ""0:0-0:0"", ""Tuesday"": ""10:0-21:0"", ""Wednesday"": ""10:0-21:0"", ""Thursday"": ""10:0-21:0"", ""Friday"": ""10:0-21:0"", ""Saturday"": ""10:0-21:0"", ""Sunday"": ""10:0-17:0""}",1,36.0115441617,-115.1380697748,Sweetea,89183,94,5,NV,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}",,"{Bubble Tea,Coffee & Tea,Food,Tea Rooms,Juice Bars & Smoothies}"
13735 Madison Ave,"{""RestaurantsAttire"": ""u'casual'"", ""GoodForKids"": ""True"", ""BusinessAcceptsCreditCards"": ""True"", ""RestaurantsTableService"": ""True"", ""NoiseLevel"": ""u'quiet'"", ""RestaurantsGoodForGroups"": ""True"", ""Alcohol"": ""u'none'"", ""RestaurantsDelivery"": ""False"", ""HasTV"": ""False"", ""BikeParking"": ""False"", ""GoodForMeal"": ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", ""DogsAllowed"": ""False"", ""WiFi"": ""u'free'"", ""RestaurantsReservations"": ""True"", ""BusinessParking"": ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", ""RestaurantsPriceRange2"": ""1"", ""OutdoorSeating"": ""False"", ""RestaurantsTakeOut"": ""True"", ""Ambience"": ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", ""Caters"": ""True"", ""BusinessAcceptsBitcoin"": ""False""}",h2Gc7ZP0LN6VZWqIRYtCEA,"""Food, Bubble Tea, Thai, Desserts, Restaurants, Vegan""",Lakewood,"{""Monday"": ""11:30-21:0"", ""Wednesday"": ""11:30-21:0"", ""Thursday"": ""11:30-22:0"", ""Friday"": ""11:30-22:0"", ""Saturday"": ""11:30-22:0"", ""Sunday"": ""16:30-21:0""}",1,41.4769144417,-81.7890876699,Thai Thai,44107,135,4,OH,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""TRUE"", ""validated"": ""FALSE""}","{""divey"": ""FALSE"", ""casual"": ""TRUE"", ""classy"": ""FALSE"", ""trendy"": ""FALSE"", ""hipster"": ""FALSE"", ""upscale"": ""FALSE"", ""intimate"": ""FALSE"", ""romantic"": ""FALSE"", ""touristy"": ""FALSE""}","{Food,Bubble Tea,Thai,Desserts,Restaurants,Vegan}"
3 Elm Street,"{""BikeParking"": ""True"", ""Caters"": ""False"", ""WheelchairAccessible"": ""False"", ""WiFi"": ""u'free'"", ""BusinessParking"": ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", ""RestaurantsPriceRange2"": ""1"", ""RestaurantsTakeOut"": ""True"", ""DogsAllowed"": ""False""}",J-cXzP24JUjp8ebxUTwfaA,"""Bubble Tea, Coffee & Tea, Juice Bars & Smoothies, Tea Rooms, Food""",Toronto,"{""Monday"": ""12:0-23:0"", ""Tuesday"": ""12:0-23:0"", ""Wednesday"": ""12:0-23:0"", ""Thursday"": ""12:0-23:0"", ""Friday"": ""12:0-0:0"", ""Saturday"": ""12:0-0:0"", ""Sunday"": ""12:0-22:0""}",0,43.6576241187,-79.3818469718,Chachago,M5G 1H1,54,3.5,ON,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""TRUE"", ""validated"": ""FALSE""}",,"{Bubble Tea,Coffee & Tea,Juice Bars & Smoothies,Tea Rooms,Food}"
11312 Euclid Ave,"{""RestaurantsDelivery"": ""False"", ""RestaurantsGoodForGroups"": ""True"", ""GoodForKids"": ""True"", ""BusinessAcceptsCreditCards"": ""True"", ""BusinessParking"": ""{'garage': True, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", ""RestaurantsAttire"": ""'casual'"", ""OutdoorSeating"": ""True"", ""RestaurantsTakeOut"": ""True"", ""Caters"": ""True"", ""RestaurantsTableService"": ""False"", ""BikeParking"": ""True"", ""GoodForMeal"": ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", ""RestaurantsReservations"": ""False"", ""Ambience"": ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", ""WheelchairAccessible"": ""True"", ""HasTV"": ""True"", ""NoiseLevel"": ""u'loud'"", ""BusinessAcceptsBitcoin"": ""False"", ""WiFi"": ""u'free'"", ""RestaurantsPriceRange2"": ""1"", ""DogsAllowed"": ""False"", ""Alcohol"": ""'none'""}",X6chSU0KBGHGNxZ8UH_qag,"""Asian Fusion, Sushi Bars, Bubble Tea, Food, Ethnic Food, Japanese, Specialty Food, Restaurants""",Cleveland,"{""Monday"": ""0:0-0:0"", ""Tuesday"": ""11:0-22:0"", ""Wednesday"": ""11:0-22:0"", ""Thursday"": ""11:0-22:0"", ""Friday"": ""11:0-22:0"", ""Saturday"": ""12:0-16:0"", ""Sunday"": ""12:0-21:0""}",1,41.5083472,-81.6055447,Kenko Sushi & Teriyaki,44106,126,4,OH,"{""lot"": ""TRUE"", ""valet"": ""FALSE"", ""garage"": ""TRUE"", ""street"": ""TRUE"", ""validated"": ""FALSE""}","{""divey"": ""FALSE"", ""casual"": ""TRUE"", ""classy"": ""FALSE"", ""trendy"": ""FALSE"", ""hipster"": ""FALSE"", ""upscale"": ""FALSE"", ""intimate"": ""FALSE"", ""romantic"": ""FALSE"", ""touristy"": ""FALSE""}","{Asian Fusion,Sushi Bars,Bubble Tea,Food,Ethnic Food,Japanese,Specialty Food,Restaurants}"
300 John Street,"{""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", ""RestaurantsDelivery"": ""False"", ""RestaurantsPriceRange2"": ""1"", ""RestaurantsTakeOut"": ""True"", ""Caters"": ""False"", ""BikeParking"": ""False""}",DkjJIoI8Pbu5an5mKpCvFA,"""Food, Bakeries, Bubble Tea, Desserts""",Markham,"{""Monday"": ""8:30-20:0"", ""Tuesday"": ""8:30-20:0"", ""Wednesday"": ""8:30-20:0"", ""Thursday"": ""8:30-20:0"", ""Friday"": ""8:30-20:0"", ""Saturday"": ""9:30-18:0"", ""Sunday"": ""10:0-17:0""}",1,43.8204923,-79.3984661,Kin Kin Bakery & Bubble Tea,L3T 5W4,9,4,ON,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}",,"{Food,Bakeries,Bubble Tea,Desserts}"
